set_cardinality,add_ds_card,mult_ds_card,count
1,1,1,45
2,3,3,990
3,5,6,484
3,6,5,31
3,6,6,13675
4,7,9,11
4,7,10,304
4,8,9,12
4,8,10,450
4,9,9,233
4,9,10,25079
4,10,7,7
4,10,8,4
4,10,9,1591
4,10,10,121304
5,9,14,21
5,9,15,210
5,10,12,7
5,10,14,17
5,10,15,336
5,11,12,5
5,11,14,94
5,11,15,996
5,12,12,26
5,12,13,40
5,12,14,1180
5,12,15,26208
5,13,12,46
5,13,13,32
5,13,14,2044
5,13,15,53813
5,14,12,149
5,14,13,191
5,14,14,17701
5,14,15,474547
5,15,9,2
5,15,10,2
5,15,11,2
5,15,12,448
5,15,13,219
5,15,14,26111
5,15,15,617312
6,11,18,7
6,11,20,22
6,11,21,151
6,12,18,5
6,12,20,39
6,12,21,250
6,13,15,5
6,13,18,28
6,13,19,19
6,13,20,117
6,13,21,887
6,14,15,5
6,14,18,47
6,14,19,27
6,14,20,247
6,14,21,1672
6,15,15,3
6,15,16,8
6,15,17,8
6,15,18,113
6,15,19,190
6,15,20,2899
6,15,21,25786
6,16,15,8
6,16,16,16
6,16,17,13
6,16,18,439
6,16,19,212
6,16,20,4606
6,16,21,44454
6,17,15,17
6,17,16,16
6,17,17,31
6,17,18,800
6,17,19,841
6,17,20,17014
6,17,21,163203
6,18,15,25
6,18,16,33
6,18,17,112
6,18,18,2490
6,18,19,2897
6,18,20,70545
6,18,21,765230
6,19,15,32
6,19,16,32
6,19,17,111
6,19,18,4243
6,19,19,4639
6,19,20,145702
6,19,21,1623888
6,20,15,76
6,20,16,78
6,20,17,168
6,20,18,9431
6,20,19,8496
6,20,20,330229
6,20,21,3402342
6,21,11,1
6,21,15,110
6,21,16,43
6,21,17,84
6,21,18,5557
6,21,19,2996
6,21,20,138984
6,21,21,1362281
7,13,25,75
7,13,26,86
7,13,27,79
7,13,28,1463
7,14,22,25
7,14,25,79
7,14,26,73
7,14,27,321
7,14,28,2364
7,15,22,75
7,15,23,72
7,15,24,37
7,15,25,257
7,15,26,251
7,15,27,1264
7,15,28,9859
7,16,22,82
7,16,23,91
7,16,24,51
7,16,25,441
7,16,26,408
7,16,27,3249
7,16,28,18153
7,17,19,20
7,17,22,125
7,17,23,171
7,17,24,106
7,17,25,1169
7,17,26,854
7,17,27,7145
7,17,28,41273
7,18,18,10
7,18,19,32
