set_cardinality,add_ds_card,mult_ds_card,count
5,9,14,4
5,9,15,4
5,10,12,1
5,10,14,3
5,10,15,6
5,11,12,1
5,11,14,12
5,11,15,17
5,12,12,4
5,12,13,3
5,12,14,31
5,12,15,64
5,13,12,3
5,13,13,2
5,13,14,32
5,13,15,37
5,14,12,3
5,14,14,10
5,14,15,15
6,11,18,1
6,11,20,3
6,11,21,1
6,12,18,1
6,12,20,5
6,12,21,2
6,13,15,1
6,13,18,5
6,13,19,4
6,13,20,9
6,13,21,8
6,14,15,1
6,14,18,7
6,14,19,5
6,14,20,20
6,14,21,9
6,15,16,1
6,15,17,1
6,15,18,10
6,15,19,6
6,15,20,28
6,15,21,20
6,16,18,9
6,16,19,4
6,16,20,22
6,16,21,9
6,17,15,1
6,17,17,1
6,17,18,3
6,17,19,2
6,17,20,7
6,17,21,4
7,13,25,2
7,13,26,2
7,14,22,1
7,14,25,2
7,14,26,1
7,14,27,2
7,15,22,3
7,15,23,2
7,15,24,1
7,15,25,4
7,15,26,5
7,15,27,6
7,15,28,1
7,16,22,3
7,16,23,1
7,16,24,2
7,16,25,9
7,16,26,2
7,16,27,9
7,16,28,2
7,17,19,1
7,17,22,2
7,17,23,1
7,17,24,4
7,17,25,9
7,17,26,5
7,17,27,8
7,17,28,2
7,18,22,2
7,18,23,1
7,18,24,2
7,18,25,4
7,18,26,3
7,18,27,8
7,19,22,1
7,19,24,1
7,19,25,3
7,19,26,3
8,15,30,1
8,15,31,1
8,15,32,1
8,16,30,2
8,16,32,1
8,16,33,1
8,17,26,1
8,17,27,2
8,17,28,1
8,17,30,1
8,17,31,2
8,17,32,2
8,17,33,3
8,17,34,3
8,18,27,1
8,18,30,3
8,18,31,1
8,18,33,3
8,18,34,1
8,18,35,1
8,19,27,1
8,19,29,2
8,19,30,2
8,19,31,2
8,19,32,4
8,19,33,1
8,19,34,1
9,17,36,1
9,17,37,1
9,18,35,1
9,18,40,1
9,19,32,1
9,19,36,2
9,19,38,2
9,19,40,1
10,19,42,1
