set_cardinality,add_ds_card,mult_ds_card,count
23,169,273,1231
23,207,240,3
23,200,274,4014967
23,183,247,5
23,192,244,6
23,172,241,1
23,195,256,588
23,238,274,7
23,163,262,5
23,180,268,2885
23,201,261,10473
23,180,247,2
23,151,266,1
23,151,276,15
23,157,275,61
23,158,264,2
23,213,272,3717718
23,218,244,5
23,176,257,17
23,211,239,1
23,202,242,5
23,183,259,199
23,214,238,3
23,200,255,860
23,206,245,32
23,216,246,23
23,227,263,1106
23,184,242,2
23,168,276,1861
23,162,263,10
23,221,261,4916
23,178,252,5
23,223,246,4
23,218,272,2216378
23,182,258,85
23,201,270,651714
23,163,254,1
23,186,242,1
23,189,242,2
23,207,265,104000
23,215,271,1707656
23,209,254,1048
23,213,261,17044
23,155,253,1
23,172,271,1135
23,209,237,4
23,214,273,5710003
23,230,269,3693
23,189,266,11260
23,219,245,5
23,173,270,1046
23,170,276,3340
23,216,274,7213457
23,215,248,58
23,205,260,10154
23,178,251,3
23,214,248,66
23,195,262,6044
23,173,271,1492
23,228,253,6
23,182,267,2963
23,163,276,396
23,194,240,1
23,172,258,10
23,162,258,2
23,179,245,1
23,234,264,9
23,225,276,636788
23,158,261,1
23,181,254,24
23,184,241,1
23,210,236,2
23,195,270,244066
23,211,243,11
23,190,259,816
23,180,258,73
23,190,241,3
23,203,266,120666
23,173,268,451
23,221,241,4
23,207,251,276
23,188,266,8989
23,166,263,13
23,238,272,5
23,172,274,4231
23,234,269,143
23,210,235,2
23,217,262,15714
23,164,270,90
23,220,248,25
23,196,249,57
23,199,260,5483
23,159,265,5
23,184,276,186220
23,165,261,7
23,157,269,6
23,197,243,6
23,226,270,63364
23,182,271,17900
23,193,231,1
23,203,238,1
23,189,270,68453
23,207,248,105
23,212,261,17747
23,161,267,11
23,207,246,55
23,175,266,355
23,210,265,114213
23,154,271,3
23,229,254,5
23,205,250,166
23,215,274,8022877
23,184,271,29494
23,196,265,28935
23,149,273,3
23,210,253,655
23,198,239,3
23,229,257,20
23,227,272,108986
23,186,247,8
23,225,250,7
23,212,248,84
23,170,272,1051
23,157,272,31
23,217,276,7345155
23,216,255,866
23,136,276,2
23,225,257,165
23,174,258,16
23,202,267,151319
23,200,238,2
23,210,263,42302
23,208,259,7501
23,220,242,1
23,231,264,125
23,197,253,288
23,185,257,141
23,197,248,57
23,172,259,16
23,162,274,204
23,199,258,2424
23,194,253,202
23,212,247,47
23,162,273,153
23,219,271,979452
23,224,267,29766
23,205,261,15592
23,185,271,37590
23,219,248,35
