N,set_cardinality,add_ds_card,mult_ds_card,count
3,3,5,6,1
4,3,5,6,2
4,3,6,5,1
4,3,6,6,1
5,3,5,6,4
5,3,6,5,1
5,3,6,6,5
6,3,5,6,6
6,3,6,5,1
6,3,6,6,13
7,3,5,6,9
7,3,6,5,1
7,3,6,6,25
8,3,5,6,12
8,3,6,5,2
8,3,6,6,42
9,3,5,6,16
9,3,6,5,4
9,3,6,6,64
10,3,5,6,20
10,3,6,5,4
10,3,6,6,96
11,3,5,6,25
11,3,6,5,4
11,3,6,6,136
12,3,5,6,30
12,3,6,5,5
12,3,6,6,185
13,3,5,6,36
13,3,6,5,5
13,3,6,6,245
14,3,5,6,42
14,3,6,5,5
14,3,6,6,317
15,3,5,6,49
15,3,6,5,5
15,3,6,6,401
16,3,5,6,56
16,3,6,5,8
16,3,6,6,496
17,3,5,6,64
17,3,6,5,8
17,3,6,6,608
18,3,5,6,72
18,3,6,5,10
18,3,6,6,734
19,3,5,6,81
19,3,6,5,10
19,3,6,6,878
20,3,5,6,90
20,3,6,5,11
20,3,6,6,1039
21,3,5,6,100
21,3,6,5,11
21,3,6,6,1219
22,3,5,6,110
22,3,6,5,11
22,3,6,6,1419
23,3,5,6,121
23,3,6,5,11
23,3,6,6,1639
24,3,5,6,132
24,3,6,5,12
24,3,6,6,1880
25,3,5,6,144
25,3,6,5,16
25,3,6,6,2140
26,3,5,6,156
26,3,6,5,16
26,3,6,6,2428
27,3,5,6,169
27,3,6,5,18
27,3,6,6,2738
28,3,5,6,182
28,3,6,5,19
28,3,6,6,3075
29,3,5,6,196
29,3,6,5,19
29,3,6,6,3439
30,3,5,6,210
30,3,6,5,19
30,3,6,6,3831
31,3,5,6,225
31,3,6,5,19
31,3,6,6,4251
32,3,5,6,240
32,3,6,5,22
32,3,6,6,4698
33,3,5,6,256
33,3,6,5,22
33,3,6,6,5178
34,3,5,6,272
34,3,6,5,22
34,3,6,6,5690
35,3,5,6,289
35,3,6,5,22
35,3,6,6,6234
36,3,5,6,306
36,3,6,5,27
36,3,6,6,6807
37,3,5,6,324
37,3,6,5,27
37,3,6,6,7419
38,3,5,6,342
38,3,6,5,27
38,3,6,6,8067
39,3,5,6,361
39,3,6,5,27
39,3,6,6,8751
40,3,5,6,380
40,3,6,5,28
40,3,6,6,9472
41,3,5,6,400
41,3,6,5,28
41,3,6,6,10232
42,3,5,6,420
42,3,6,5,28
42,3,6,6,11032
43,3,5,6,441
43,3,6,5,28
43,3,6,6,11872
44,3,5,6,462
44,3,6,5,29
44,3,6,6,12753
45,3,5,6,484
45,3,6,5,31
45,3,6,6,13675
46,3,5,6,506
46,3,6,5,31
46,3,6,6,14643
47,3,5,6,529
47,3,6,5,31
47,3,6,6,15655
48,3,5,6,552
48,3,6,5,34
48,3,6,6,16710
49,3,5,6,576
49,3,6,5,40
49,3,6,6,17808
50,3,5,6,600
50,3,6,5,44
50,3,6,6,18956
51,3,5,6,625
51,3,6,5,44
51,3,6,6,20156
52,3,5,6,650
52,3,6,5,45
52,3,6,6,21405
53,3,5,6,676
53,3,6,5,45
53,3,6,6,22705
54,3,5,6,702
54,3,6,5,47
54,3,6,6,24055
55,3,5,6,729
55,3,6,5,47
55,3,6,6,25459
56,3,5,6,756
56,3,6,5,48
56,3,6,6,26916
57,3,5,6,784
57,3,6,5,48
57,3,6,6,28428
58,3,5,6,812
58,3,6,5,48
58,3,6,6,29996
59,3,5,6,841
59,3,6,5,48
59,3,6,6,31620
60,3,5,6,870
60,3,6,5,49
60,3,6,6,33301
61,3,5,6,900
61,3,6,5,49
61,3,6,6,35041
62,3,5,6,930
62,3,6,5,49
62,3,6,6,36841
63,3,5,6,961
63,3,6,5,51
63,3,6,6,38699
64,3,5,6,992
64,3,6,5,58
64,3,6,6,40614
65,3,5,6,1024
