N,set_cardinality,add_ds_card,mult_ds_card,count
7,7,13,25,1
8,7,13,25,2
8,7,14,22,1
8,7,14,27,1
8,7,15,22,1
8,7,15,25,2
8,7,15,27,1
9,7,13,25,2
9,7,13,26,1
9,7,14,22,1
9,7,14,25,1
9,7,14,26,1
9,7,14,27,1
9,7,15,22,2
9,7,15,23,2
9,7,15,25,2
9,7,15,26,2
9,7,15,27,5
9,7,16,22,1
9,7,16,24,1
9,7,16,25,3
9,7,16,26,1
9,7,16,27,1
9,7,16,28,1
9,7,17,19,1
9,7,17,24,3
9,7,17,25,3
9,7,17,27,1
10,7,13,25,2
10,7,13,26,2
10,7,14,22,1
10,7,14,25,2
10,7,14,26,1
10,7,14,27,2
10,7,15,22,3
10,7,15,23,2
10,7,15,24,1
10,7,15,25,4
10,7,15,26,5
10,7,15,27,6
10,7,15,28,1
10,7,16,22,3
10,7,16,23,1
10,7,16,24,2
10,7,16,25,9
10,7,16,26,2
10,7,16,27,9
10,7,16,28,2
10,7,17,19,1
10,7,17,22,2
10,7,17,23,1
10,7,17,24,4
10,7,17,25,9
10,7,17,26,5
10,7,17,27,8
10,7,17,28,2
10,7,18,22,2
10,7,18,23,1
10,7,18,24,2
10,7,18,25,4
10,7,18,26,3
10,7,18,27,8
10,7,19,22,1
10,7,19,24,1
10,7,19,25,3
10,7,19,26,3
11,7,13,25,2
11,7,13,26,2
11,7,13,28,1
11,7,14,22,1
11,7,14,25,2
11,7,14,26,1
11,7,14,27,4
11,7,15,22,3
11,7,15,23,2
11,7,15,24,1
11,7,15,25,4
11,7,15,26,6
11,7,15,27,11
11,7,15,28,4
11,7,16,22,3
11,7,16,23,1
11,7,16,24,2
11,7,16,25,10
11,7,16,26,6
11,7,16,27,17
11,7,16,28,9
11,7,17,19,1
11,7,17,22,2
11,7,17,23,1
11,7,17,24,4
11,7,17,25,17
11,7,17,26,8
11,7,17,27,31
11,7,17,28,18
11,7,18,22,4
11,7,18,23,2
11,7,18,24,2
11,7,18,25,12
11,7,18,26,9
11,7,18,27,34
11,7,18,28,13
11,7,19,22,1
11,7,19,24,1
11,7,19,25,13
11,7,19,26,8
11,7,19,27,20
11,7,19,28,11
11,7,20,22,1
11,7,20,24,2
11,7,20,25,7
11,7,20,26,2
11,7,20,27,10
11,7,20,28,2
11,7,21,25,2
12,7,13,25,2
12,7,13,26,2
12,7,13,27,1
12,7,13,28,1
12,7,14,22,1
12,7,14,25,2
12,7,14,26,2
12,7,14,27,4
12,7,14,28,1
12,7,15,22,3
12,7,15,23,2
12,7,15,24,1
12,7,15,25,8
12,7,15,26,7
12,7,15,27,14
12,7,15,28,5
12,7,16,22,4
12,7,16,23,3
12,7,16,24,2
12,7,16,25,13
12,7,16,26,11
12,7,16,27,23
12,7,16,28,12
12,7,17,19,1
12,7,17,22,6
12,7,17,23,7
12,7,17,24,5
12,7,17,25,26
12,7,17,26,13
12,7,17,27,45
12,7,17,28,29
12,7,18,18,1
12,7,18,19,2
12,7,18,22,9
12,7,18,23,7
12,7,18,24,12
12,7,18,25,30
12,7,18,26,25
12,7,18,27,72
12,7,18,28,32
12,7,19,21,1
12,7,19,22,4
12,7,19,23,4
12,7,19,24,12
12,7,19,25,35
12,7,19,26,22
12,7,19,27,63
12,7,19,28,29
12,7,20,20,1
12,7,20,21,2
12,7,20,22,5
12,7,20,23,2
12,7,20,24,10
12,7,20,25,28
12,7,20,26,22
12,7,20,27,49
12,7,20,28,17
12,7,21,22,1
12,7,21,23,2
12,7,21,24,2
12,7,21,25,10
12,7,21,26,3
12,7,21,27,12
12,7,21,28,4
12,7,22,24,1
12,7,22,25,3
12,7,22,27,2
13,7,13,25,2
13,7,13,26,2
13,7,13,27,2
13,7,13,28,2
13,7,14,22,1
13,7,14,25,2
13,7,14,26,2
13,7,14,27,5
13,7,14,28,2
13,7,15,22,3
13,7,15,23,2
13,7,15,24,1
13,7,15,25,8
13,7,15,26,7
13,7,15,27,16
13,7,15,28,12
13,7,16,22,4
13,7,16,23,3
13,7,16,24,2
13,7,16,25,13
13,7,16,26,11
13,7,16,27,33
13,7,16,28,22
13,7,17,19,1
13,7,17,22,6
13,7,17,23,7
13,7,17,24,5
13,7,17,25,29
13,7,17,26,17
13,7,17,27,63
13,7,17,28,54
13,7,18,18,1
13,7,18,19,2
13,7,18,22,10
13,7,18,23,7
13,7,18,24,12
13,7,18,25,42
13,7,18,26,35
13,7,18,27,125
13,7,18,28,114
13,7,19,21,1
13,7,19,22,4
13,7,19,23,6
13,7,19,24,12
13,7,19,25,50
13,7,19,26,35
13,7,19,27,147
13,7,19,28,125
13,7,20,20,1
13,7,20,21,2
13,7,20,22,8
13,7,20,23,3
13,7,20,24,12
13,7,20,25,60
13,7,20,26,43
13,7,20,27,150
13,7,20,28,107
13,7,21,22,2
13,7,21,23,4
13,7,21,24,5
13,7,21,25,26
13,7,21,26,18
13,7,21,27,81
13,7,21,28,54
13,7,22,22,1
13,7,22,23,1
13,7,22,24,4
13,7,22,25,16
13,7,22,26,2
13,7,22,27,28
13,7,22,28,12
13,7,23,25,6
13,7,23,26,1
13,7,23,27,1
13,7,23,28,1
14,7,13,25,3
14,7,13,26,2
14,7,13,27,2
14,7,13,28,3
14,7,14,22,1
14,7,14,25,2
14,7,14,26,2
14,7,14,27,5
14,7,14,28,4
14,7,15,22,3
14,7,15,23,2
14,7,15,24,1
14,7,15,25,8
14,7,15,26,8
14,7,15,27,17
14,7,15,28,19
14,7,16,22,4
14,7,16,23,3
14,7,16,24,2
14,7,16,25,14
14,7,16,26,12
14,7,16,27,43
14,7,16,28,30
14,7,17,19,1
14,7,17,22,6
14,7,17,23,7
14,7,17,24,5
14,7,17,25,34
14,7,17,26,25
14,7,17,27,84
14,7,17,28,70
14,7,18,18,1
14,7,18,19,2
14,7,18,22,10
14,7,18,23,8
14,7,18,24,14
14,7,18,25,69
14,7,18,26,48
14,7,18,27,194
14,7,18,28,178
14,7,19,21,1
14,7,19,22,11
14,7,19,23,9
14,7,19,24,15
14,7,19,25,90
14,7,19,26,56
14,7,19,27,260
14,7,19,28,222
14,7,20,20,1
14,7,20,21,2
14,7,20,22,18
14,7,20,23,4
14,7,20,24,17
14,7,20,25,121
14,7,20,26,71
14,7,20,27,349
14,7,20,28,281
14,7,21,22,6
14,7,21,23,6
14,7,21,24,14
14,7,21,25,73
14,7,21,26,40
14,7,21,27,257
14,7,21,28,182
14,7,22,22,4
14,7,22,23,2
14,7,22,24,6
14,7,22,25,54
14,7,22,26,18
14,7,22,27,136
14,7,22,28,88
14,7,23,23,1
14,7,23,25,19
14,7,23,26,4
14,7,23,27,28
14,7,23,28,20
15,7,13,25,3
15,7,13,26,2
15,7,13,27,3
15,7,13,28,4
15,7,14,22,1
15,7,14,25,3
15,7,14,26,2
15,7,14,27,7
15,7,14,28,5
15,7,15,22,3
15,7,15,23,2
15,7,15,24,1
15,7,15,25,10
15,7,15,26,8
15,7,15,27,22
15,7,15,28,25
15,7,16,22,4
15,7,16,23,3
15,7,16,24,2
15,7,16,25,16
15,7,16,26,12
15,7,16,27,52
15,7,16,28,39
15,7,17,19,1
15,7,17,22,6
15,7,17,23,7
15,7,17,24,5
15,7,17,25,35
15,7,17,26,26
15,7,17,27,104
15,7,17,28,98
15,7,18,18,1
15,7,18,19,2
15,7,18,22,11
15,7,18,23,11
15,7,18,24,20
15,7,18,25,81
15,7,18,26,63
15,7,18,27,259
15,7,18,28,262
15,7,19,21,1
15,7,19,22,12
15,7,19,23,11
15,7,19,24,24
15,7,19,25,112
15,7,19,26,93
15,7,19,27,392
15,7,19,28,385
15,7,20,20,1
15,7,20,21,2
15,7,20,22,20
15,7,20,23,18
15,7,20,24,29
15,7,20,25,190
15,7,20,26,142
15,7,20,27,639
15,7,20,28,549
15,7,21,22,10
15,7,21,23,14
15,7,21,24,23
15,7,21,25,158
15,7,21,26,125
15,7,21,27,537
15,7,21,28,447
15,7,22,22,7
15,7,22,23,6
15,7,22,24,13
15,7,22,25,119
15,7,22,26,80
15,7,22,27,412
15,7,22,28,279
15,7,23,23,2
15,7,23,24,5
15,7,23,25,48
15,7,23,26,33
15,7,23,27,166
15,7,23,28,70
15,7,24,25,7
15,7,24,26,5
15,7,24,27,16
15,7,24,28,10
15,7,25,25,1
15,7,25,27,1
16,7,13,25,4
16,7,13,26,2
16,7,13,27,3
16,7,13,28,5
16,7,14,22,2
16,7,14,25,3
16,7,14,26,2
16,7,14,27,10
16,7,14,28,5
16,7,15,22,4
16,7,15,23,2
16,7,15,24,1
16,7,15,25,12
16,7,15,26,8
16,7,15,27,29
16,7,15,28,28
16,7,16,22,4
16,7,16,23,3
16,7,16,24,2
16,7,16,25,16
16,7,16,26,14
16,7,16,27,62
16,7,16,28,47
16,7,17,19,1
16,7,17,22,6
16,7,17,23,7
16,7,17,24,5
16,7,17,25,41
16,7,17,26,30
16,7,17,27,126
16,7,17,28,116
16,7,18,18,1
16,7,18,19,2
16,7,18,22,14
16,7,18,23,13
16,7,18,24,21
16,7,18,25,99
16,7,18,26,93
16,7,18,27,352
16,7,18,28,329
16,7,19,18,1
16,7,19,19,1
16,7,19,21,1
16,7,19,22,26
16,7,19,23,17
16,7,19,24,32
16,7,19,25,156
16,7,19,26,133
16,7,19,27,560
16,7,19,28,503
16,7,20,18,2
16,7,20,20,1
16,7,20,21,5
16,7,20,22,38
16,7,20,23,22
