N,set_cardinality,add_ds_card,mult_ds_card,count
46,15,29,90,1
46,15,29,98,3
46,15,29,104,2
46,15,29,105,2
46,15,29,107,4
46,15,29,110,1
46,15,29,112,4
46,15,29,113,2
46,15,29,114,2
46,15,29,115,4
46,15,29,116,2
46,15,29,117,5
46,15,29,118,6
46,15,29,119,7
46,15,30,91,1
46,15,30,97,1
46,15,30,98,1
46,15,30,99,3
46,15,30,103,2
46,15,30,104,4
46,15,30,105,2
46,15,30,106,5
46,15,30,109,2
46,15,30,110,8
46,15,30,111,1
46,15,30,112,1
46,15,30,113,3
46,15,30,114,5
46,15,30,115,8
46,15,30,116,6
46,15,30,117,9
46,15,30,118,7
46,15,30,119,8
46,15,30,120,5
46,15,31,88,1
46,15,31,89,1
46,15,31,90,2
46,15,31,91,5
46,15,31,95,1
46,15,31,96,4
46,15,31,97,8
46,15,31,98,10
46,15,31,99,11
46,15,31,100,10
46,15,31,101,1
46,15,31,102,8
46,15,31,103,16
46,15,31,104,14
46,15,31,105,16
46,15,31,106,15
46,15,31,107,28
46,15,31,108,18
46,15,31,109,14
46,15,31,110,34
46,15,31,111,24
46,15,31,112,24
46,15,31,113,32
46,15,31,114,40
46,15,31,115,39
46,15,31,116,53
46,15,31,117,81
46,15,31,118,80
46,15,31,119,82
46,15,31,120,11
46,15,32,82,2
46,15,32,89,3
46,15,32,90,2
46,15,32,91,8
46,15,32,92,3
46,15,32,93,3
46,15,32,95,4
46,15,32,96,6
46,15,32,97,20
46,15,32,98,11
46,15,32,99,12
46,15,32,100,24
46,15,32,101,11
46,15,32,102,20
46,15,32,103,10
46,15,32,104,39
46,15,32,105,26
46,15,32,106,28
46,15,32,107,54
46,15,32,108,35
46,15,32,109,39
46,15,32,110,35
46,15,32,111,49
46,15,32,112,72
46,15,32,113,57
46,15,32,114,85
46,15,32,115,82
46,15,32,116,144
46,15,32,117,128
46,15,32,118,154
46,15,32,119,135
46,15,32,120,35
46,15,33,80,1
46,15,33,81,1
46,15,33,82,1
46,15,33,83,2
46,15,33,88,4
46,15,33,89,10
46,15,33,90,12
46,15,33,91,19
46,15,33,92,12
46,15,33,93,6
46,15,33,94,14
46,15,33,95,19
46,15,33,96,26
46,15,33,97,59
46,15,33,98,52
46,15,33,99,36
46,15,33,100,88
46,15,33,101,50
46,15,33,102,102
46,15,33,103,89
46,15,33,104,117
46,15,33,105,115
46,15,33,106,153
46,15,33,107,174
46,15,33,108,143
46,15,33,109,193
46,15,33,110,255
46,15,33,111,232
46,15,33,112,213
46,15,33,113,273
46,15,33,114,388
46,15,33,115,371
46,15,33,116,574
46,15,33,117,570
46,15,33,118,653
46,15,33,119,526
46,15,33,120,149
46,15,34,80,1
46,15,34,81,3
46,15,34,83,4
46,15,34,84,5
46,15,34,88,8
46,15,34,89,9
46,15,34,90,22
46,15,34,91,24
46,15,34,92,55
46,15,34,93,15
46,15,34,94,15
46,15,34,95,23
46,15,34,96,45
46,15,34,97,82
46,15,34,98,111
46,15,34,99,93
46,15,34,100,153
46,15,34,101,80
46,15,34,102,131
46,15,34,103,202
46,15,34,104,199
46,15,34,105,261
46,15,34,106,299
46,15,34,107,269
46,15,34,108,339
46,15,34,109,357
46,15,34,110,493
46,15,34,111,406
46,15,34,112,604
46,15,34,113,531
46,15,34,114,822
46,15,34,115,773
46,15,34,116,1160
46,15,34,117,1056
46,15,34,118,1289
46,15,34,119,1067
46,15,34,120,253
46,15,35,73,1
46,15,35,80,3
46,15,35,81,8
46,15,35,82,7
46,15,35,83,6
46,15,35,84,9
46,15,35,85,13
46,15,35,87,4
46,15,35,88,22
46,15,35,89,38
46,15,35,90,45
46,15,35,91,64
46,15,35,92,122
46,15,35,93,50
46,15,35,94,67
46,15,35,95,111
46,15,35,96,144
46,15,35,97,218
46,15,35,98,240
46,15,35,99,276
46,15,35,100,422
46,15,35,101,291
46,15,35,102,445
46,15,35,103,558
46,15,35,104,570
46,15,35,105,763
46,15,35,106,795
46,15,35,107,950
46,15,35,108,976
46,15,35,109,1117
46,15,35,110,1372
46,15,35,111,1420
46,15,35,112,1695
46,15,35,113,1799
46,15,35,114,2492
46,15,35,115,2532
46,15,35,116,3539
46,15,35,117,3290
46,15,35,118,3688
46,15,35,119,2973
46,15,35,120,863
46,15,36,74,1
46,15,36,80,6
46,15,36,81,7
46,15,36,82,10
46,15,36,83,17
46,15,36,84,17
46,15,36,85,7
46,15,36,86,16
46,15,36,87,6
46,15,36,88,37
46,15,36,89,69
46,15,36,90,78
46,15,36,91,111
46,15,36,92,150
46,15,36,93,122
46,15,36,94,109
46,15,36,95,193
46,15,36,96,231
46,15,36,97,376
46,15,36,98,416
46,15,36,99,481
46,15,36,100,586
46,15,36,101,531
46,15,36,102,819
46,15,36,103,1002
46,15,36,104,1108
46,15,36,105,1247
46,15,36,106,1542
46,15,36,107,1674
46,15,36,108,1854
46,15,36,109,2254
46,15,36,110,2679
46,15,36,111,2894
46,15,36,112,3478
46,15,36,113,3830
46,15,36,114,4470
46,15,36,115,5481
46,15,36,116,6606
46,15,36,117,6321
46,15,36,118,7010
46,15,36,119,5679
46,15,36,120,1910
46,15,37,74,1
46,15,37,76,1
46,15,37,80,2
46,15,37,81,6
46,15,37,82,10
46,15,37,83,27
46,15,37,84,24
46,15,37,85,23
46,15,37,86,22
46,15,37,87,10
46,15,37,88,73
46,15,37,89,121
46,15,37,90,134
46,15,37,91,194
46,15,37,92,310
46,15,37,93,249
46,15,37,94,225
46,15,37,95,410
46,15,37,96,556
46,15,37,97,744
46,15,37,98,898
46,15,37,99,1079
46,15,37,100,1452
46,15,37,101,1291
46,15,37,102,1737
46,15,37,103,2491
46,15,37,104,2496
46,15,37,105,3317
46,15,37,106,3522
46,15,37,107,3959
46,15,37,108,4960
46,15,37,109,5323
46,15,37,110,6833
46,15,37,111,6746
46,15,37,112,9048
46,15,37,113,9370
46,15,37,114,11985
46,15,37,115,13308
46,15,37,116,16573
46,15,37,117,16050
46,15,37,118,16809
46,15,37,119,13691
46,15,37,120,4116
46,15,38,73,1
46,15,38,74,1
46,15,38,75,1
46,15,38,76,1
46,15,38,80,1
46,15,38,81,8
46,15,38,82,18
46,15,38,83,38
